Study_Hours_Per_Day,Extracurricular_Hours_Per_Day,Sleep_Hours_Per_Day,Social_Hours_Per_Day,Physical_Activity_Hours_Per_Day,GPA,Stress_Level,cluster_kmeans,cluster_dbscan,cluster_fuzzy,cluster_subtractive,cluster_final,Stress_Level_Corrected,Stress_Level_Corrected_Encoded,label_changed
6.751234167471484,3.8,8.775961353088604,2.8,1.8450233454076803,2.9674024510073247,Moderate,1,0,2,3,1,Moderate,1,False
5.421886831901772,3.5,8.268565520667854,4.2,2.9893314075506545,2.716706114443978,Low,1,0,2,3,1,Moderate,1,True
5.0,3.9,9.28199637696106,1.2,4.772808725214846,2.6917004911725053,Low,1,0,2,3,1,Moderate,1,True
5.797311287008567,2.1,7.871649499924327,1.7,6.621346635482345,2.89259272076475,Moderate,2,0,1,0,2,Low,0,True
8.057527227750969,0.6,6.9289362357411255,2.2,6.002835493178015,3.439760422619484,High,0,0,1,0,0,High,2,False
6.131198193485644,2.1,7.907741670584896,0.3,7.709048440885691,2.906133912728187,Moderate,2,0,1,0,2,Low,0,True
8.089248807362466,0.7,5.204591769857879,5.7,4.099304118099183,3.0752902712324586,High,1,0,2,4,1,Moderate,1,True
8.646725679875912,1.8,5.740909015845606,3.0,4.915654251710261,3.1444534452392143,High,0,0,2,0,0,High,2,False
5.500180478322583,3.6,6.048594245872295,4.0,4.862305317925288,2.8794392057176936,Low,1,0,2,2,1,Moderate,1,True
8.390940085665674,0.7,10.0,4.5,1.3821942218060024,2.791283778579808,Moderate,1,-1,2,7,1,Moderate,1,False
9.300115108532246,3.6,8.108480156553075,2.5,0.0,3.366772900402605,High,0,0,0,1,0,High,2,False
6.286455438033546,1.1,9.17693767325756,2.1,4.94091528341151,3.0588591420128863,Moderate,1,0,1,0,1,Moderate,1,False
6.5,2.2,5.906086100331245,4.8,5.0526677695063205,2.8529398684183094,High,1,0,2,2,1,Moderate,1,True
5.376225886556486,3.3,9.016848965010718,4.4,2.8093952392598998,2.869490194218748,Low,1,0,2,3,1,Moderate,1,True
