Student_ID,Study_Hours_Per_Day,Extracurricular_Hours_Per_Day,Sleep_Hours_Per_Day,Social_Hours_Per_Day,Physical_Activity_Hours_Per_Day,GPA,Stress_Level
1,6.751234167471484,3.8,8.775961353088604,2.8,1.8450233454076805,2.9674024510073247,Moderate
2,5.421886831901772,3.5,8.268565520667854,4.2,2.9893314075506545,2.716706114443978,Low
3,5.0,3.9,9.281996376961061,1.2,4.772808725214846,2.6917004911725053,Low
4,5.797311287008567,2.1,7.871649499924327,1.7,6.621346635482345,2.89259272076475,Moderate
5,8.057527227750969,0.6,6.9289362357411255,2.2,6.002835493178015,3.4397604226194836,High
6,6.131198193485644,2.1,7.907741670584896,0.3,7.709048440885691,2.906133912728187,Moderate
7,8.089248807362466,0.7,5.204591769857879,5.7,4.099304118099183,3.0752902712324586,High
8,8.646725679875912,1.8,5.740909015845606,3.0,4.915654251710261,3.1444534452392143,High
9,5.500180478322583,3.6,6.0485942458722946,4.0,4.862305317925288,2.8794392057176936,Low
10,8.390940085665674,0.7,10.0,4.5,1.3821942218060024,2.7912837785798077,Moderate
11,9.300115108532246,3.6,8.108480156553075,2.5,0.0,3.3667729004026046,High
12,6.286455438033546,1.1,9.176937673257559,2.1,4.94091528341151,3.0588591420128863,Moderate
13,6.5,2.2,5.906086100331245,4.8,5.0526677695063205,2.8529398684183094,High
14,5.376225886556486,3.3,9.016848965010718,4.4,2.8093952392598993,2.8694901942187476,Low
15,9.341871686161012,0.3,6.851286605656251,0.7,7.12647527395459,3.479510940281089,High
16,7.045531205479276,0.3,6.5660878887385845,2.0,8.204124399162142,3.2079648891914823,Moderate
17,8.435065251118107,2.6,9.852615886996773,1.6,2.0051864263160457,3.3585958462447985,High
18,8.23326316296125,2.2,9.19026512479734,2.0,1.797755462700819,3.1569849941989006,High
19,7.7775250837532415,1.7,5.003706047884883,0.6,9.212894092163836,3.189092521965354,High
20,6.468589910750842,2.0,9.501555934597706,1.5,4.366960168173913,2.9538301483661993,Moderate
21,7.07547026166846,3.0,6.158614274781639,0.5,7.280833100071429,2.9007340069944854,Moderate
