feature,q1,q3,iqr,lower_bound,upper_bound,outlier_count,outlier_pct
cfo,4222412339.2721195,11282998129.971916,7060585790.699797,-6368466346.777575,21873876816.02161,13,17.33
gp_ratio,0.5127824670618618,0.5575113089482431,0.044728841886381265,0.4456892042322899,0.624604571777815,4,5.0
endeudamiento,0.3451367231457575,0.42275269858872727,0.07761597544296978,0.22871275998130283,0.5391766617531819,4,5.56
participacion_servicios,0.18361641434989803,0.2445740783251078,0.06095766397520977,0.09217991838708338,0.33601057428792247,2,2.5
hhi_fuentes,0.23866697729626785,0.26260088055479014,0.023933903258522293,0.2027661224084844,0.2985017354425736,2,2.53
liquidez,1.2347507050422157,1.51178962997273,0.2770389249305143,0.8191923176464443,1.9273480173685016,1,1.28
participacion_regalias,0.04890640573479188,0.07509729144370433,0.026190885708912454,0.0096200771714232,0.11438362000707301,1,1.25
gastos_personal,42456991655.92044,100648449053.08728,58191457397.16684,-44830194439.82982,187935635148.83752,0,0.0
anio,2018.0,2023.0,5.0,2010.5,2030.5,0,0.0
ingresos_totales,81641233568.95084,186702221243.27005,105060987674.31921,-75950247942.52798,344293702754.7489,0,0.0
dias_efectivo,74.1481834737572,114.16451151018396,40.016328036426756,14.123691419117065,174.18900356482408,0,0.0
participacion_ley30,0.28926515053797114,0.3644239371816135,0.07515878664364234,0.17652697057250763,0.477162117147077,0,0.0
participacion_matriculas,0.15396701041813848,0.20884186867957868,0.0548748582614402,0.07165472302597818,0.291154156071739,0,0.0
tendencia_ingresos,0.0087931892591517,0.0622672437087771,0.0534740544496254,-0.0714178924152864,0.1424783253832152,0,0.0
