umap_1,umap_2,label
-7.561785,-0.39913145,0
-7.584057,-0.82126796,1
-7.139681,-0.24029109,1
-7.493129,-0.5880808,0
-8.114977,-0.40560493,1
-8.026594,-0.7224014,1
-8.415164,-0.7508291,1
-8.080133,-0.92060417,1
-8.370206,-0.6120949,1
-8.431293,-0.22992505,0
-6.5732436,0.030984215,0
-7.027495,0.8222731,0
-6.0789847,0.45278677,1
-6.69691,0.6875174,0
-6.4080215,0.53292954,0
-6.5946035,0.37612602,0
-6.5162864,1.0412323,1
-7.1415877,0.40454632,1
-7.3505826,0.8023002,1
-6.963337,1.109762,0
-8.532395,0.4379035,0
-7.7758303,0.8481784,1
-7.996272,0.64492863,1
-8.167037,0.24168584,1
-7.9048176,1.0714519,0
-8.407117,0.69321537,1
-7.963279,0.46052337,0
-8.159505,0.7912847,0
-8.721375,0.620638,0
-8.455088,0.90285903,1
-4.8185234,0.23061956,0
-4.732616,0.86142915,0
-4.5943127,0.6303038,1
-4.6202683,0.4503488,0
-4.288166,0.7811809,0
-4.412021,0.8823087,1
-4.3211746,0.18520102,0
-5.065175,0.72780406,0
-5.1179585,0.41734776,1
-4.491928,-0.070574425,1
-6.373362,-0.48309344,0
-6.386136,-0.7002515,1
-6.169853,-0.97782004,1
-5.9174647,-0.38716003,0
-5.9357057,-0.78487724,0
-6.327025,-0.84371984,0
-5.203019,-1.1284777,0
-5.789025,-1.102721,0
-5.844746,-1.4733477,0
-6.1513953,-1.1889063,1
-5.5735874,-0.18866505,0
-5.2307878,-0.029278452,0
-5.4546905,-0.6964882,1
-5.352281,-0.37937874,0
-4.968619,-0.4623763,1
-4.5944448,-0.48227936,1
-4.720631,-0.8301824,0
-5.166369,-0.73385394,1
-5.2634635,-0.4454303,1
-4.9871936,-0.8358474,1
-4.8986707,-1.861415,1
-5.1005507,-1.9227496,0
-4.9528375,-1.5806128,0
-4.506883,-1.6895354,0
-4.851755,-1.9286152,0
-4.6234508,-1.2772568,1
-5.529696,-1.9585855,0
-4.99866,-1.5395851,1
-5.302648,-1.582987,1
-4.324486,-1.4602531,1
-9.095719,0.64178014,0
-9.311596,0.9153675,0
-9.121711,0.86237013,1
-9.02743,1.013393,0
-9.420245,0.7079088,0
-9.510664,1.14837,0
-9.358768,1.186086,0
-8.608998,1.286091,1
-8.927962,1.3033385,1
-8.147571,1.4120917,1
