umap_1,umap_2,umap_3,label
20.160666,8.69445,-4.059747,0
19.916563,8.526825,-3.840235,1
19.344276,8.571244,-4.3698707,1
20.091545,8.701277,-4.4339085,0
19.943338,8.152185,-4.846642,1
19.746988,8.109464,-4.3519964,1
20.202637,8.061949,-4.3996906,1
20.012602,8.217631,-4.0914545,1
19.938166,7.816819,-4.5020156,1
20.508924,8.041232,-4.611758,0
19.79596,9.452643,-4.0131497,0
20.300066,9.440751,-4.7658687,0
19.6508,9.823899,-4.19213,1
20.043188,9.445443,-4.558187,0
19.835455,9.766886,-4.576599,0
19.914976,9.517556,-4.295195,0
20.0767,9.686921,-4.9987516,1
20.408194,9.708386,-4.286475,1
20.608553,9.434204,-4.995936,1
20.68838,9.442474,-4.4606466,0
21.090893,8.823825,-5.640953,0
21.07587,9.06859,-5.107052,1
21.04053,9.154293,-5.331941,1
21.014984,8.741818,-4.9791474,1
21.513283,8.688044,-5.2598677,0
20.681684,8.827456,-5.4667544,1
21.183517,8.614451,-5.27412,0
21.399574,8.734374,-4.8663607,0
20.957558,8.540903,-5.584613,0
21.364412,8.921461,-5.5196056,1
18.811121,10.596257,-2.9025166,0
19.194124,10.744156,-2.8080888,0
19.049795,10.973537,-2.5333219,1
19.28942,10.494723,-2.8397331,0
18.86588,10.887703,-2.664579,0
19.397434,10.915081,-3.0127382,1
18.93982,10.415471,-2.573974,0
18.939743,10.689013,-3.3061297,0
19.41115,10.443341,-3.2402158,1
19.215734,10.099342,-3.2068446,1
19.546717,9.373727,-2.9864433,0
19.281996,8.850273,-3.002897,1
19.144144,9.050926,-2.8042524,1
19.025326,9.453848,-2.8323424,0
18.978373,8.722908,-2.9169955,0
19.352367,8.941477,-2.5157285,0
18.315035,9.063681,-2.6362352,0
19.62032,9.222656,-2.6380348,0
19.125784,8.973748,-2.5481281,0
18.63784,8.6154785,-2.5781095,1
18.66522,9.730456,-3.0462468,0
18.528221,9.767024,-2.5651195,0
18.298777,9.300318,-3.0727692,1
18.625456,9.380559,-3.3024533,0
18.017494,9.715876,-2.90517,1
18.212086,9.986608,-2.9535291,1
17.733198,9.6094055,-3.3255672,0
18.206022,9.681851,-3.3327367,1
18.30406,9.570237,-2.660003,1
17.957214,9.34139,-2.9124427,1
18.652388,10.228934,-4.2413263,1
18.5617,10.129555,-3.9704163,0
18.446907,9.7055435,-3.9339125,0
18.446905,10.482066,-3.8040168,0
18.26326,10.254261,-4.1015325,0
18.013212,9.864423,-3.9408495,1
18.877747,9.748846,-4.2669535,0
17.95756,9.526929,-3.8896394,1
18.651035,9.953694,-3.7476857,1
18.222189,9.516225,-3.7747877,1
21.078802,8.14345,-5.831084,0
20.517715,7.9261403,-5.998796,0
20.62738,8.371178,-5.8937397,1
20.418322,8.325467,-5.99525,0
20.430649,8.054545,-5.5185356,0
20.436497,8.020742,-6.1368775,0
20.71997,8.011923,-6.0119767,0
20.727388,8.24963,-5.4699025,1
20.973867,7.833394,-5.7600923,1
21.172905,8.119425,-5.0920095,1
