feature,importance
hhi_fuentes,0.3871373102978151
liquidez,0.1831661956225357
dias_efectivo,0.1743235059400169
ratio_gastos_personal_ingresos,0.16409086139285994
cfo,0.09128212674677241
ingresos_totales,0.0
gastos_personal,0.0
participacion_regalias,0.0
participacion_ley30,0.0
participacion_servicios,0.0
participacion_matriculas,0.0
endeudamiento,0.0
anio,0.0
tendencia_ingresos,0.0
gp_ratio,0.0
ratio_cfo_ingresos,0.0
ratio_liquidez_endeudamiento,0.0
diversificacion_fuentes,0.0
anios_cobertura_efectivo,0.0
delta_gp_ratio_anual,0.0
delta_liquidez_anual,0.0
unidad_Ciencias Económicas,0.0
unidad_Derecho,0.0
unidad_Educación,0.0
unidad_Facultad de Ingeniería,0.0
unidad_Institutos,0.0
unidad_Medicina,0.0
unidad_Nivel Central,0.0
unidad_Sedes y Seccionales,0.0
