criterion,max_depth,min_samples_leaf,min_samples_split,ccp_alpha,class_weight,threshold,selection_score,n,prevalencia,accuracy,precision,recall,f1,roc_auc,pr_auc,brier,log_loss,tn,fp,fn,tp
gini,3,1,2,0.0,,0.168,0.778268231292517,8,0.625,0.75,0.8,0.8,0.8,0.7666666666666667,0.8050000000000002,0.3631510204081633,1.0632659727940599,2,1,1,4
gini,3,1,2,0.001,,0.168,0.778268231292517,8,0.625,0.75,0.8,0.8,0.8,0.7666666666666667,0.8050000000000002,0.3631510204081633,1.0632659727940599,2,1,1,4
gini,3,1,4,0.0,,0.168,0.778268231292517,8,0.625,0.75,0.8,0.8,0.8,0.7666666666666667,0.8050000000000002,0.3631510204081633,1.0632659727940599,2,1,1,4
gini,3,1,4,0.001,,0.168,0.778268231292517,8,0.625,0.75,0.8,0.8,0.8,0.7666666666666667,0.8050000000000002,0.3631510204081633,1.0632659727940599,2,1,1,4
gini,4,4,2,0.0,,0.0,0.6925654115296964,8,0.625,0.625,0.625,1.0,0.7692307692307693,0.5666666666666667,0.7083333333333333,0.4400510129081633,7.1003109116005305,0,3,0,5
gini,4,4,2,0.001,,0.0,0.6925654115296964,8,0.625,0.625,0.625,1.0,0.7692307692307693,0.5666666666666667,0.7083333333333333,0.4400510129081633,7.1003109116005305,0,3,0,5
gini,4,4,4,0.0,,0.0,0.6925654115296964,8,0.625,0.625,0.625,1.0,0.7692307692307693,0.5666666666666667,0.7083333333333333,0.4400510129081633,7.1003109116005305,0,3,0,5
gini,4,4,4,0.001,,0.0,0.6925654115296964,8,0.625,0.625,0.625,1.0,0.7692307692307693,0.5666666666666667,0.7083333333333333,0.4400510129081633,7.1003109116005305,0,3,0,5
gini,5,4,2,0.0,,0.0,0.6925654115296964,8,0.625,0.625,0.625,1.0,0.7692307692307693,0.5666666666666667,0.7083333333333333,0.4400510129081633,7.1003109116005305,0,3,0,5
gini,5,4,2,0.001,,0.0,0.6925654115296964,8,0.625,0.625,0.625,1.0,0.7692307692307693,0.5666666666666667,0.7083333333333333,0.4400510129081633,7.1003109116005305,0,3,0,5
gini,5,4,4,0.0,,0.0,0.6925654115296964,8,0.625,0.625,0.625,1.0,0.7692307692307693,0.5666666666666667,0.7083333333333333,0.4400510129081633,7.1003109116005305,0,3,0,5
gini,5,4,4,0.001,,0.0,0.6925654115296964,8,0.625,0.625,0.625,1.0,0.7692307692307693,0.5666666666666667,0.7083333333333333,0.4400510129081633,7.1003109116005305,0,3,0,5
gini,6,4,2,0.0,,0.0,0.6925654115296964,8,0.625,0.625,0.625,1.0,0.7692307692307693,0.5666666666666667,0.7083333333333333,0.4400510129081633,7.1003109116005305,0,3,0,5
gini,6,4,2,0.001,,0.0,0.6925654115296964,8,0.625,0.625,0.625,1.0,0.7692307692307693,0.5666666666666667,0.7083333333333333,0.4400510129081633,7.1003109116005305,0,3,0,5
gini,6,4,4,0.0,,0.0,0.6925654115296964,8,0.625,0.625,0.625,1.0,0.7692307692307693,0.5666666666666667,0.7083333333333333,0.4400510129081633,7.1003109116005305,0,3,0,5
gini,6,4,4,0.001,,0.0,0.6925654115296964,8,0.625,0.625,0.625,1.0,0.7692307692307693,0.5666666666666667,0.7083333333333333,0.4400510129081633,7.1003109116005305,0,3,0,5
entropy,4,4,2,0.0,,0.0,0.6925654115296964,8,0.625,0.625,0.625,1.0,0.7692307692307693,0.5666666666666667,0.7083333333333333,0.4400510129081633,7.1003109116005305,0,3,0,5
entropy,4,4,2,0.001,,0.0,0.6925654115296964,8,0.625,0.625,0.625,1.0,0.7692307692307693,0.5666666666666667,0.7083333333333333,0.4400510129081633,7.1003109116005305,0,3,0,5
entropy,4,4,4,0.0,,0.0,0.6925654115296964,8,0.625,0.625,0.625,1.0,0.7692307692307693,0.5666666666666667,0.7083333333333333,0.4400510129081633,7.1003109116005305,0,3,0,5
entropy,4,4,4,0.001,,0.0,0.6925654115296964,8,0.625,0.625,0.625,1.0,0.7692307692307693,0.5666666666666667,0.7083333333333333,0.4400510129081633,7.1003109116005305,0,3,0,5
entropy,5,4,2,0.0,,0.0,0.6925654115296964,8,0.625,0.625,0.625,1.0,0.7692307692307693,0.5666666666666667,0.7083333333333333,0.4400510129081633,7.1003109116005305,0,3,0,5
entropy,5,4,2,0.001,,0.0,0.6925654115296964,8,0.625,0.625,0.625,1.0,0.7692307692307693,0.5666666666666667,0.7083333333333333,0.4400510129081633,7.1003109116005305,0,3,0,5
entropy,5,4,4,0.0,,0.0,0.6925654115296964,8,0.625,0.625,0.625,1.0,0.7692307692307693,0.5666666666666667,0.7083333333333333,0.4400510129081633,7.1003109116005305,0,3,0,5
entropy,5,4,4,0.001,,0.0,0.6925654115296964,8,0.625,0.625,0.625,1.0,0.7692307692307693,0.5666666666666667,0.7083333333333333,0.4400510129081633,7.1003109116005305,0,3,0,5
entropy,6,4,2,0.0,,0.0,0.6925654115296964,8,0.625,0.625,0.625,1.0,0.7692307692307693,0.5666666666666667,0.7083333333333333,0.4400510129081633,7.1003109116005305,0,3,0,5
entropy,6,4,2,0.001,,0.0,0.6925654115296964,8,0.625,0.625,0.625,1.0,0.7692307692307693,0.5666666666666667,0.7083333333333333,0.4400510129081633,7.1003109116005305,0,3,0,5
entropy,6,4,4,0.0,,0.0,0.6925654115296964,8,0.625,0.625,0.625,1.0,0.7692307692307693,0.5666666666666667,0.7083333333333333,0.4400510129081633,7.1003109116005305,0,3,0,5
entropy,6,4,4,0.001,,0.0,0.6925654115296964,8,0.625,0.625,0.625,1.0,0.7692307692307693,0.5666666666666667,0.7083333333333333,0.4400510129081633,7.1003109116005305,0,3,0,5
gini,4,1,2,0.0,,0.0,0.6911538471538462,8,0.625,0.625,0.625,1.0,0.7692307692307693,0.6,0.7,0.49999999000000006,9.210340376976184,0,3,0,5
gini,4,1,2,0.001,,0.0,0.6911538471538462,8,0.625,0.625,0.625,1.0,0.7692307692307693,0.6,0.7,0.49999999000000006,9.210340376976184,0,3,0,5
gini,4,1,4,0.0,,0.0,0.6911538471538462,8,0.625,0.625,0.625,1.0,0.7692307692307693,0.6,0.7,0.49999999000000006,9.210340376976184,0,3,0,5
gini,4,1,4,0.001,,0.0,0.6911538471538462,8,0.625,0.625,0.625,1.0,0.7692307692307693,0.6,0.7,0.49999999000000006,9.210340376976184,0,3,0,5
gini,5,1,2,0.0,,0.0,0.6911538471538462,8,0.625,0.625,0.625,1.0,0.7692307692307693,0.6,0.7,0.49999999000000006,9.210340376976184,0,3,0,5
gini,5,1,2,0.001,,0.0,0.6911538471538462,8,0.625,0.625,0.625,1.0,0.7692307692307693,0.6,0.7,0.49999999000000006,9.210340376976184,0,3,0,5
gini,5,1,4,0.0,,0.0,0.6911538471538462,8,0.625,0.625,0.625,1.0,0.7692307692307693,0.6,0.7,0.49999999000000006,9.210340376976184,0,3,0,5
gini,5,1,4,0.001,,0.0,0.6911538471538462,8,0.625,0.625,0.625,1.0,0.7692307692307693,0.6,0.7,0.49999999000000006,9.210340376976184,0,3,0,5
gini,6,1,2,0.0,,0.0,0.6911538471538462,8,0.625,0.625,0.625,1.0,0.7692307692307693,0.6,0.7,0.49999999000000006,9.210340376976184,0,3,0,5
gini,6,1,2,0.001,,0.0,0.6911538471538462,8,0.625,0.625,0.625,1.0,0.7692307692307693,0.6,0.7,0.49999999000000006,9.210340376976184,0,3,0,5
gini,6,1,4,0.0,,0.0,0.6911538471538462,8,0.625,0.625,0.625,1.0,0.7692307692307693,0.6,0.7,0.49999999000000006,9.210340376976184,0,3,0,5
gini,6,1,4,0.001,,0.0,0.6911538471538462,8,0.625,0.625,0.625,1.0,0.7692307692307693,0.6,0.7,0.49999999000000006,9.210340376976184,0,3,0,5
gini,3,1,2,0.0,balanced,0.118,0.6779368399181108,8,0.625,0.625,0.6666666666666666,0.8,0.7272727272727273,0.5333333333333334,0.7250000000000001,0.37252554021283135,2.9395566469878727,1,2,1,4
gini,3,1,2,0.0,"{0: 0.8, 1: 1.3333333333333333}",0.118,0.6779368399181108,8,0.625,0.625,0.6666666666666666,0.8,0.7272727272727273,0.5333333333333334,0.7250000000000001,0.37252554021283135,2.9395566469878727,1,2,1,4
