column,missing_count,missing_pct
anio,0,0.0
unidad,0,0.0
ingresos_totales,0,0.0
gastos_personal,0,0.0
liquidez,2,2.5
dias_efectivo,1,1.25
cfo,5,6.25
participacion_ley30,4,5.0
participacion_regalias,0,0.0
participacion_servicios,0,0.0
participacion_matriculas,0,0.0
hhi_fuentes,1,1.25
endeudamiento,8,10.0
tendencia_ingresos,3,3.75
gp_ratio,0,0.0
label,0,0.0
ratio_gastos_personal_ingresos,0,0.0
ratio_cfo_ingresos,5,6.25
ratio_liquidez_endeudamiento,10,12.5
diversificacion_fuentes,1,1.25
anios_cobertura_efectivo,1,1.25
delta_gp_ratio_anual,8,10.0
delta_liquidez_anual,11,13.75
